Episode,Reward
1,-99.27736461249863
2,-70.37415096370003
3,-73.39122129390266
4,-113.97463879659648
5,-100.41014708116154
6,-112.79028272857951
7,-119.12657332595687
8,-65.68827024018319
9,-104.7356128122347
10,-101.91601718190127
11,-65.82605503465354
12,-128.20597450068033
13,-97.70410632795158
14,-58.549281494972576
15,-107.53914264663122
16,-57.1699462236738
17,-68.00484429968455
18,-64.32458695441797
19,-116.98232161157517
20,-117.4868876982946
21,-99.98604138981426
22,-72.33297001543143
23,-114.5802309526087
24,-70.41170019662681
25,-116.27227719447079
26,-101.18620694125568
27,-61.131187990099846
28,-63.69840727476154
